CATEGORY	TICKER	DATE	OPEN	CLOSE	PRE_MARKET	AFTER_HOURS	HIGH	LOW
Health	UNH	2023-01-30	487.81	485.79	485.74	481.99	495.25	484.8
Finance	MS	2023-01-30	95.03	95.96	95.5	96.1	96.61	94.92
EVs	TSLA	2023-01-30	178.05	166.66	178.5	165.77	179.77	166.5
EVs	NIO	2023-01-30	12.43	12.02	12.3	12.05	12.44	11.85
Tech	INTC	2023-01-30	27.715	27.95	28.3	27.99	28.51	27.67
Tech	META	2023-01-30	149.405	147.06	151.44	147.1	151.1233	146.95
Health	UNH	2023-01-31	498	499.19	483.47	497.49	505.5	493.13
Finance	MS	2023-01-31	96.29	97.33	95.97	97.16	97.37	95.7644
EVs	TSLA	2023-01-31	164.57	173.22	165.89	171.8205	174.3	162.78
EVs	NIO	2023-01-31	11.91	12.07	11.9	12.01	12.355	11.76
Tech	INTC	2023-01-31	27.78	28.26	27.95	28.11	28.29	27.53
Tech	META	2023-01-31	147.95	148.97	146.61	147.1	149.88	147.52
Health	UNH	2023-02-01	499.95	497	499.95	492	504.38	495.67
Finance	MS	2023-02-01	96.95	98.19	97.22	98.59	99.06	96.93
EVs	TSLA	2023-02-01	173.89	181.41	173.22	184.33	183.805	169.93
EVs	NIO	2023-02-01	12.24	12.1	12.47	12.24	12.32	11.585
Tech	INTC	2023-02-01	27.89	29.07	28.17	29.11	29.43	27.68
Tech	META	2023-02-01	148.03	153.12	146.64	183.9901	153.58	147.06
Health	UNH	2023-02-02	494.26	470.83	490.01	473.61	495	463.89
Finance	MS	2023-02-02	98.88	99.21	98.5	99.28	100.27	97.961
EVs	TSLA	2023-02-02	187.325	188.27	185.11	184.06	196.7501	182.61
EVs	NIO	2023-02-02	12.12	11.96	11.9	11.8	12.37	11.81
Tech	INTC	2023-02-02	29.25	30.19	29.3	29.87	30.3	28.795
Tech	META	2023-02-02	183.38	188.77	181.5	185.07	197.16	180.16
Health	UNH	2023-02-03	475.23	472.02	472	472.1	478.78	469.75
Finance	MS	2023-02-03	98.24	99.43	99	99.65	100.18	98.07
EVs	TSLA	2023-02-03	183.95	189.98	183.47	192.77	199	183.69
EVs	NIO	2023-02-03	11.65	11.19	11.57	11.25	11.9	11.16
Tech	INTC	2023-02-03	29.62	30.32	30.03	30.49	31.17	29.53
Tech	META	2023-02-03	183.465	186.53	183.1	187.09	196.77	182.89
Telecom	AMT	2023-01-30	219.99	218.06	219.05	218.06	222.58	217.85
Telecom	AMT	2023-01-31	218.05	223.39	218.05	223.39	223.42	218.05
Telecom	AMT	2023-02-01	221.89	227.14	222.04	227.17	228.97	221.065
Telecom	AMT	2023-02-02	230.21	227.39	229.79	227.39	235.49	225.54
Telecom	AMT	2023-02-03	224.41	222.06	226.08	222.1	225.38	218.04
